,missing_count,missing_pct
Substance_Use,25,0.25
CGPA,12,0.12
Age,0,0.0
Financial_Stress,0,0.0
method5_manual2,0,0.0
method4_manual,0,0.0
method3_very_wide,0,0.0
method2_wider,0,0.0
method1_tertiles,0,0.0
burnout_raw_score,0,0.0
burnout,0,0.0
burnout_composite_score,0,0.0
Residence_Type,0,0.0
Semester_Credit_Load,0,0.0
Extracurricular_Involvement,0,0.0
Family_History,0,0.0
Chronic_Illness,0,0.0
Course,0,0.0
Counseling_Service_Use,0,0.0
Relationship_Status,0,0.0
Social_Support,0,0.0
Diet_Quality,0,0.0
Physical_Activity,0,0.0
Sleep_Quality,0,0.0
Anxiety_Score,0,0.0
Depression_Score,0,0.0
Stress_Level,0,0.0
Gender,0,0.0
method6_kmeans,0,0.0
