cluster,feature,top_category,cluster_share,overall_share,lift
0,Gender,Male,0.5252842022736182,0.5064,1.0372910787393725
0,Residence_Type,Off-Campus,0.4096432771462172,0.3968,1.0323671299047812
0,Course,Medical,0.302234417875343,0.2998,1.008120139677595
0,Chronic_Illness,No,0.9541356330850647,0.9493,1.005093893484741
0,Substance_Use,Never,0.8443747549980399,0.8408,1.0042516115580875
0,Counseling_Service_Use,Never,0.6079968639749118,0.6074,1.0009826538934998
0,Extracurricular_Involvement,Moderate,0.48725989807918463,0.4878,0.9988927799901284
0,Family_History,No,0.6899255194041553,0.6919,0.9971462919557094
0,Sleep_Quality,Good,0.5139161113288906,0.5157,0.9965408402732026
0,Physical_Activity,Moderate,0.49353194825558605,0.5001,0.9868665232065308
0,Social_Support,Moderate,0.4817718541748334,0.4942,0.9748519914504926
0,Relationship_Status,Single,0.49353194825558605,0.5092,0.9692300633456129
0,Diet_Quality,Average,0.5848686789494316,0.6037,0.9688068228415299
1,Residence_Type,On-Campus,0.4106045910119625,0.4004,1.025485991538368
1,Diet_Quality,Average,0.6129970902036858,0.6037,1.0154001825471024
1,Gender,Female,0.5008082767539606,0.4936,1.0146034780266624
1,Extracurricular_Involvement,Moderate,0.4943420627222761,0.4878,1.0134113626942929
1,Social_Support,Moderate,0.4998383446492079,0.4942,1.0114090340939053
1,Sleep_Quality,Good,0.5202069188490139,0.5157,1.0087394199127668
1,Substance_Use,Never,0.8470740381506627,0.8408,1.0074619863828054
1,Chronic_Illness,No,0.9515033947623667,0.9493,1.002321073172197
1,Physical_Activity,Moderate,0.5004849660523764,0.5001,1.000769778149123
1,Relationship_Status,Single,0.5095376656967345,0.5092,1.0006631298050561
1,Family_History,No,0.688975105075978,0.6919,0.9957726623442377
1,Counseling_Service_Use,Never,0.6039443905593275,0.6074,0.9943108175161794
1,Course,Medical,0.29194956353055285,0.2998,0.9738144213827646
2,Relationship_Status,Single,0.5222981116914424,0.5092,1.025722921624985
2,Residence_Type,Off-Campus,0.4021695460024106,0.3968,1.0135321219818816
2,Social_Support,Moderate,0.49859381277621534,0.4942,1.0088907583492823
2,Family_History,No,0.6978706307754118,0.6919,1.0086293261676713
2,Diet_Quality,Average,0.6050622740056247,0.6037,1.0022565413377915
2,Sleep_Quality,Good,0.5158698272398554,0.5157,1.0003293140194984
2,Substance_Use,Never,0.8388911209321013,0.8408,0.9977296871219092
2,Course,Medical,0.2989152269987947,0.2998,0.9970487891887748
2,Physical_Activity,Moderate,0.4973885094415428,0.5001,0.9945781032624331
2,Gender,Male,0.5034150261149056,0.5064,0.9941055018066858
2,Chronic_Illness,No,0.9429489754921655,0.9493,0.9933097814096339
2,Counseling_Service_Use,Never,0.6026516673362796,0.6074,0.9921825277186032
2,Extracurricular_Involvement,Moderate,0.4732824427480916,0.4878,0.970238710020688
3,Residence_Type,On-Campus,0.4156400642742367,0.4004,1.0380620985870048
3,Course,Medical,0.31065881092662023,0.2998,1.0362201832108746
3,Physical_Activity,Moderate,0.5120514193893948,0.5001,1.0238980591669562
3,Gender,Female,0.5034815211569362,0.4936,1.0200192892158353
3,Extracurricular_Involvement,Moderate,0.4970540974825924,0.4878,1.0189710895502098
3,Counseling_Service_Use,Never,0.6186395286555972,0.6074,1.0185043277174797
3,Diet_Quality,Average,0.6122121049812533,0.6037,1.0140998922995748
3,Relationship_Status,Single,0.5125870380289234,0.5092,1.006651685052874
3,Social_Support,Moderate,0.4959828602035351,0.4942,1.003607568198169
3,Family_History,No,0.6914836636314944,0.6919,0.9993982708939072
3,Chronic_Illness,No,0.9475093733261918,0.9493,0.9981137399412111
3,Sleep_Quality,Good,0.5104445634708088,0.5157,0.9898091205561542
3,Substance_Use,Never,0.8280664167113015,0.8408,0.984855395708018
